run_id,endpoint,strategy,threshold,net_benefit,interpretation_status
binary_20260719_044949_c6c955a30fc2,IDH,Alert all,0.06999999999999999,0.34146715544485806,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert none,0.06999999999999999,0.0,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert all,0.08,0.3343091897431717,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert none,0.08,0.0,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert all,0.09,0.3269939061139758,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert none,0.09,0.0,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert all,0.09999999999999999,0.3195160606263533,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert none,0.09999999999999999,0.0,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert all,0.11,0.31187017366709885,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert none,0.11,0.0,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert all,0.12,0.3040505165496795,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert none,0.12,0.0,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert all,0.13,0.2960510971996758,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert none,0.13,0.0,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert all,0.14,0.28786564484153254,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert none,0.14,0.0,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert all,0.15000000000000002,0.2794875936043741,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Alert none,0.15000000000000002,0.0,sensitivity_analysis_not_clinically_prespecified
